,domain_20
s_016um_00130_00381-1,11
s_016um_00321_00306-1,16
s_016um_00254_00191-1,18
s_016um_00145_00056-1,14
s_016um_00063_00177-1,8
s_016um_00107_00208-1,8
s_016um_00125_00398-1,16
s_016um_00330_00340-1,17
s_016um_00073_00060-1,6
s_016um_00218_00062-1,6
s_016um_00236_00038-1,10
s_016um_00113_00206-1,9
s_016um_00227_00403-1,1
s_016um_00304_00114-1,9
s_016um_00350_00232-1,1
s_016um_00206_00215-1,9
s_016um_00061_00288-1,12
s_016um_00088_00385-1,16
s_016um_00142_00059-1,18
s_016um_00302_00111-1,11
s_016um_00271_00346-1,16
s_016um_00294_00213-1,11
s_016um_00150_00136-1,17
s_016um_00295_00208-1,18
s_016um_00223_00214-1,1
s_016um_00223_00203-1,12
s_016um_00267_00154-1,10
s_016um_00232_00252-1,16
s_016um_00234_00163-1,8
s_016um_00032_00123-1,8
s_016um_00207_00282-1,5
s_016um_00211_00173-1,9
s_016um_00302_00384-1,11
s_016um_00201_00023-1,18
s_016um_00318_00117-1,11
s_016um_00031_00053-1,6
s_016um_00263_00084-1,11
s_016um_00074_00291-1,8
s_016um_00108_00252-1,5
s_016um_00225_00284-1,18
s_016um_00135_00063-1,17
s_016um_00244_00100-1,16
s_016um_00021_00316-1,8
s_016um_00099_00362-1,10
s_016um_00311_00066-1,3
s_016um_00343_00282-1,11
s_016um_00054_00402-1,11
s_016um_00284_00285-1,12
s_016um_00185_00122-1,6
s_016um_00039_00069-1,8
s_016um_00228_00252-1,9
s_016um_00214_00224-1,10
s_016um_00194_00000-1,12
s_016um_00152_00166-1,17
s_016um_00240_00075-1,11
s_016um_00156_00378-1,1
s_016um_00041_00322-1,8
s_016um_00110_00345-1,11
s_016um_00092_00219-1,8
s_016um_00273_00154-1,18
s_016um_00042_00359-1,8
s_016um_00150_00351-1,17
s_016um_00292_00367-1,9
s_016um_00065_00364-1,20
s_016um_00292_00306-1,4
s_016um_00298_00269-1,4
s_016um_00025_00325-1,8
s_016um_00149_00193-1,9
s_016um_00128_00176-1,9
s_016um_00111_00158-1,3
s_016um_00173_00247-1,12
s_016um_00256_00033-1,18
s_016um_00098_00315-1,9
s_016um_00056_00120-1,9
s_016um_00298_00062-1,15
s_016um_00094_00061-1,6
s_016um_00109_00269-1,5
s_016um_00298_00370-1,18
s_016um_00230_00208-1,10
s_016um_00006_00157-1,8
s_016um_00280_00134-1,17
s_016um_00038_00382-1,18
s_016um_00057_00075-1,6
s_016um_00241_00279-1,17
s_016um_00334_00326-1,11
s_016um_00105_00172-1,9
s_016um_00158_00280-1,5
s_016um_00219_00107-1,10
s_016um_00235_00091-1,20
s_016um_00209_00351-1,8
s_016um_00152_00141-1,18
s_016um_00028_00213-1,8
s_016um_00282_00237-1,1
s_016um_00050_00120-1,6
s_016um_00180_00280-1,19
s_016um_00239_00213-1,9
s_016um_00044_00062-1,6
s_016um_00239_00050-1,10
s_016um_00293_00311-1,20
s_016um_00223_00349-1,1
s_016um_00240_00339-1,16
s_016um_00147_00276-1,8
s_016um_00044_00194-1,8
s_016um_00094_00242-1,8
s_016um_00073_00306-1,20
s_016um_00283_00152-1,17
s_016um_00235_00243-1,7
s_016um_00385_00258-1,8
s_016um_00148_00181-1,9
s_016um_00220_00148-1,6
s_016um_00069_00359-1,11
s_016um_00140_00305-1,19
s_016um_00029_00392-1,15
s_016um_00307_00046-1,8
s_016um_00223_00022-1,18
s_016um_00003_00101-1,6
s_016um_00227_00100-1,17
s_016um_00048_00043-1,6
s_016um_00027_00218-1,3
s_016um_00253_00118-1,9
s_016um_00195_00378-1,20
s_016um_00221_00214-1,18
s_016um_00248_00116-1,6
s_016um_00226_00308-1,17
s_016um_00240_00233-1,17
s_016um_00184_00102-1,9
s_016um_00165_00304-1,15
s_016um_00020_00379-1,11
s_016um_00180_00080-1,6
s_016um_00029_00322-1,8
s_016um_00274_00253-1,11
s_016um_00314_00397-1,13
s_016um_00294_00202-1,1
s_016um_00040_00366-1,11
s_016um_00049_00103-1,6
s_016um_00233_00015-1,7
s_016um_00184_00205-1,7
s_016um_00330_00230-1,13
s_016um_00080_00285-1,5
s_016um_00143_00208-1,3
s_016um_00014_00375-1,8
s_016um_00157_00296-1,5
s_016um_00266_00030-1,17
s_016um_00135_00390-1,1
s_016um_00251_00186-1,8
s_016um_00337_00212-1,13
s_016um_00125_00338-1,1
s_016um_00266_00277-1,17
s_016um_00242_00290-1,11
s_016um_00099_00087-1,13
s_016um_00024_00267-1,8
s_016um_00270_00170-1,8
s_016um_00184_00021-1,3
s_016um_00087_00078-1,9
s_016um_00003_00265-1,5
